id_harga;id_saham;tanggal;close;volume
;5;2005-06-20;295;133500
;5;2005-06-21;290;285000
;5;2005-06-22;290;0
;5;2005-06-23;290;320000
;5;2005-06-24;290;0
;5;2005-06-27;290;15000
;5;2005-06-28;290;0
;5;2005-06-29;290;0
;5;2005-06-30;290;0
;5;2005-07-01;295;100000
;5;2005-07-04;290;50500
;5;2005-07-05;285;25000
;5;2005-07-06;280;262500
;5;2005-07-07;275;105000
;5;2005-07-08;280;1165500
;5;2005-07-11;280;230000
;5;2005-07-12;275;395500
;5;2005-07-13;285;529500
;5;2005-07-14;275;1550000
;5;2005-07-15;280;69500
;5;2005-07-18;280;0
;5;2005-07-19;275;50000
;5;2005-07-20;270;537500
;5;2005-07-21;270;305000
;5;2005-07-22;270;135500
;5;2005-07-25;270;100000
;5;2005-07-26;275;255000
;5;2005-07-27;270;50000
;5;2005-07-28;275;894000
;5;2005-07-29;275;0
;5;2005-08-01;270;150000
;5;2005-08-02;270;0
;5;2005-08-03;275;72500
;5;2005-08-04;270;150000
;5;2005-08-05;275;260000
;5;2005-08-08;270;20000
;5;2005-08-09;270;0
;5;2005-08-10;270;33500
;5;2005-08-11;265;30000
;5;2005-08-12;265;0
;5;2005-08-15;265;0
;5;2005-08-16;245;1070000
;5;2005-08-17;245;0
;5;2005-08-18;235;654500
;5;2005-08-19;235;0
;5;2005-08-22;220;583000
;5;2005-08-23;210;87500
;5;2005-08-24;210;0
;5;2005-08-25;210;417500
;5;2005-08-26;220;10000
;5;2005-08-29;180;628000
;5;2005-08-30;180;373000
;5;2005-08-31;205;1000
;5;2005-09-01;185;19000
;5;2005-09-02;185;0
;5;2005-09-05;185;200000
;5;2005-09-06;185;0
;5;2005-09-07;185;50000
;5;2005-09-08;190;65000
;5;2005-09-09;205;79000
;5;2005-09-12;220;5000
;5;2005-09-13;200;130000
;5;2005-09-14;200;34000
;5;2005-09-15;190;70000
;5;2005-09-16;190;0
;5;2005-09-19;175;0
;5;2005-09-20;175;0
;5;2005-09-21;180;315000
;5;2005-09-22;175;151000
;5;2005-09-23;175;0
;5;2005-09-26;175;120000
;5;2005-09-27;175;81000
;5;2005-09-28;165;300000
;5;2005-09-29;160;4
;5;2005-09-30;165;15000
;5;2005-10-03;160;1319000
;5;2005-10-04;200;1329000
;5;2005-10-05;200;72500
;5;2005-10-06;180;50000
;5;2005-10-07;175;4
;5;2005-10-10;180;1037000
;5;2005-10-11;190;4
;5;2005-10-12;195;3529500
;5;2005-10-13;195;4
;5;2005-10-14;190;4
;5;2005-10-17;190;51500
;5;2005-10-18;190;2
;5;2005-10-19;180;4
;5;2005-10-20;180;123500
;5;2005-10-21;180;4
;5;2005-10-24;170;4
;5;2005-10-25;175;400000
;5;2005-10-26;175;3
;5;2005-10-27;185;557500
;5;2005-10-28;180;100000
;5;2005-10-31;175;4
;5;2005-11-01;170;4
;5;2005-11-02;170;0
;5;2005-11-03;170;0
;5;2005-11-04;170;0
;5;2005-11-07;170;0
;5;2005-11-08;170;0
;5;2005-11-09;170;200000
;5;2005-11-10;160;707500
;5;2005-11-11;160;4
;5;2005-11-14;150;4
;5;2005-11-15;155;1000
;5;2005-11-16;150;4
;5;2005-11-17;150;1125000
;5;2005-11-18;145;1679000
;5;2005-11-21;145;773500
;5;2005-11-22;140;4
;5;2005-11-23;135;4
;5;2005-11-24;135;986000
;5;2005-11-25;140;178000
;5;2005-11-28;140;4
;5;2005-11-29;145;4
;5;2005-11-30;145;47500
;5;2005-12-01;145;35000
;5;2005-12-02;155;4
;5;2005-12-05;150;4
;5;2005-12-06;150;332500
;5;2005-12-07;160;522500
;5;2005-12-08;160;165000
;5;2005-12-09;160;2
;5;2005-12-12;155;4
;5;2005-12-13;155;4
;5;2005-12-14;150;4
;5;2005-12-15;150;15000
